image_path,emotion
1195.jpg,neutral
1196.jpg,uncertain
1197.jpg,anger
1198.jpg,neutral
1199.jpg,uncertain
12.jpg,happy
120.jpg,happy
1200.jpg,anger
1201.jpg,anger
1202.jpg,anger
1203.jpg,neutral
1204.jpg,sad
1205.jpg,anger
1206.jpg,fear
1207.jpg,sad
1208.jpg,sad
1209.jpg,neutral
121.jpg,happy
1210.jpg,sad
1211.jpg,surprise
1212.jpg,sad
1213.jpg,happy
1214.jpg,anger
1215.jpg,sad
1216.jpg,happy
1217.jpg,sad
1218.jpg,anger
1219.jpg,neutral
122.jpg,anger
1220.jpg,sad
1221.jpg,sad
1222.jpg,neutral
1223.jpg,fear
1224.jpg,anger
1225.jpg,happy
1226.jpg,sad
1227.jpg,sad
1228.jpg,disgust
1229.jpg,anger
123.jpg,neutral
1230.jpg,disgust
1231.jpg,happy
1232.jpg,anger
1233.jpg,surprise
1234.jpg,happy
1235.jpg,neutral
1236.jpg,neutral
1237.jpg,happy
1238.jpg,happy
1239.jpg,anger
124.jpg,happy
1240.jpg,anger
1241.jpg,anger
1242.jpg,sad
1243.jpg,neutral
1244.jpg,happy
1245.jpg,uncertain
1246.jpg,anger
1247.jpg,neutral
1248.jpg,surprise
1249.jpg,anger
125.jpg,sad
1250.jpg,neutral
1251.jpg,sad
1252.jpg,neutral
1253.jpg,contempt
1254.jpg,neutral
1255.jpg,fear
1256.jpg,surprise
1257.jpg,surprise
1258.jpg,happy
1259.jpg,anger
126.jpg,uncertain
1260.jpg,uncertain
1261.jpg,happy
1262.jpg,happy
1263.jpg,uncertain
1264.jpg,happy
1265.jpg,happy
1266.jpg,anger
1267.jpg,happy
1268.jpg,disgust
1269.jpg,sad
127.jpg,uncertain
1270.jpg,happy
1271.jpg,sad
1272.jpg,neutral
1273.jpg,happy
1274.jpg,sad
1275.jpg,sad
1276.jpg,neutral
1277.jpg,surprise
1278.jpg,uncertain
1279.jpg,happy
128.jpg,sad
1280.jpg,happy
1281.jpg,surprise
1282.jpg,anger
1283.jpg,neutral
1284.jpg,anger
1285.jpg,uncertain
1286.jpg,fear
1287.jpg,anger
1288.jpg,anger
1289.jpg,surprise
129.jpg,happy
1290.jpg,sad
1291.jpg,neutral
1292.jpg,sad
1293.jpg,surprise
1294.jpg,anger
1295.jpg,surprise
1296.jpg,anger
1297.jpg,surprise
1298.jpg,neutral
1299.jpg,happy
13.jpg,neutral
130.jpg,sad
1300.jpg,neutral
1301.jpg,surprise
1302.jpg,neutral
1303.jpg,sad
1304.jpg,surprise
1305.jpg,happy
1306.jpg,fear
1307.jpg,sad
1308.jpg,happy
1309.jpg,contempt
131.jpg,sad
1310.jpg,neutral
1311.jpg,sad
1312.jpg,anger
1313.jpg,happy
1314.jpg,contempt
1315.jpg,disgust
1316.jpg,fear
1317.jpg,neutral
1318.jpg,neutral
1319.jpg,neutral
132.jpg,happy
1320.jpg,sad
1321.jpg,uncertain
1322.jpg,surprise
1323.jpg,anger
1324.jpg,anger
1325.jpg,surprise
1326.jpg,fear
1327.jpg,anger
1328.jpg,surprise
1329.jpg,happy
133.jpg,anger
1330.jpg,anger
1331.jpg,sad
1332.jpg,sad
1333.jpg,happy
1334.jpg,sad
1335.jpg,neutral
1336.jpg,happy
1337.jpg,fear
1338.jpg,neutral
1339.jpg,fear
134.jpg,surprise
1340.jpg,surprise
1341.jpg,happy
1342.jpg,neutral
1343.jpg,neutral
1344.jpg,sad
1345.jpg,neutral
1346.jpg,happy
1347.jpg,anger
1348.jpg,sad
1349.jpg,happy
135.jpg,surprise
1350.jpg,fear
1351.jpg,neutral
1352.jpg,sad
1353.jpg,surprise
1354.jpg,neutral
1355.jpg,sad
1356.jpg,sad
1357.jpg,happy
1358.jpg,fear
1359.jpg,sad
136.jpg,uncertain
1360.jpg,fear
1361.jpg,neutral
1362.jpg,neutral
1363.jpg,surprise
1364.jpg,uncertain
1365.jpg,sad
1366.jpg,sad
1367.jpg,neutral
1368.jpg,uncertain
1369.jpg,anger
137.jpg,fear
1370.jpg,uncertain
1371.jpg,anger
1372.jpg,neutral
1373.jpg,sad
1374.jpg,neutral
1375.jpg,happy
1376.jpg,sad
1377.jpg,disgust
1378.jpg,surprise
1379.jpg,neutral
138.jpg,uncertain
1380.jpg,fear
1381.jpg,anger
1382.jpg,uncertain
1383.jpg,sad
1384.jpg,neutral
1385.jpg,neutral
1386.jpg,happy
1387.jpg,sad
1388.jpg,anger
1389.jpg,fear
139.jpg,surprise
1390.jpg,sad
1391.jpg,contempt
1392.jpg,neutral
1393.jpg,surprise
1394.jpg,sad
1395.jpg,anger
1396.jpg,fear
1397.jpg,sad
1398.jpg,fear
1399.jpg,happy
14.jpg,neutral
140.jpg,disgust
1400.jpg,neutral
1401.jpg,happy
1402.jpg,fear
1403.jpg,fear
1404.jpg,anger
1405.jpg,surprise
1406.jpg,surprise
1407.jpg,happy
1408.jpg,anger
1409.jpg,sad
141.jpg,neutral
1410.jpg,fear
1411.jpg,sad
1412.jpg,anger
1413.jpg,surprise
1414.jpg,happy
1415.jpg,uncertain
1416.jpg,happy
1417.jpg,anger
1418.jpg,anger
1419.jpg,sad
142.jpg,happy
1420.jpg,happy
1421.jpg,fear
1422.jpg,anger
1423.jpg,happy
1424.jpg,anger
1425.jpg,neutral
1426.jpg,neutral
1427.jpg,anger
1428.jpg,happy
1429.jpg,neutral
143.jpg,neutral
1430.jpg,contempt
1431.jpg,anger
1432.jpg,happy
1433.jpg,sad
1434.jpg,neutral
1435.jpg,surprise
1436.jpg,happy
1437.jpg,fear
1438.jpg,happy
1439.jpg,happy
144.jpg,anger
1440.jpg,surprise
1441.jpg,happy
1442.jpg,fear
1443.jpg,surprise
1444.jpg,happy
1445.jpg,sad
1446.jpg,neutral
1447.jpg,neutral
1448.jpg,anger
1449.jpg,happy
145.jpg,surprise
1450.jpg,uncertain
1451.jpg,surprise
1452.jpg,fear
1453.jpg,surprise
1454.jpg,neutral
1455.jpg,anger
1456.jpg,surprise
1457.jpg,happy
1458.jpg,fear
1459.jpg,happy
146.jpg,surprise
1460.jpg,neutral
1461.jpg,sad
1462.jpg,anger
1463.jpg,anger
1464.jpg,anger
1465.jpg,neutral
1466.jpg,happy
1467.jpg,surprise
1468.jpg,anger
1469.jpg,sad
147.jpg,anger
1470.jpg,happy
1471.jpg,surprise
1472.jpg,happy
1473.jpg,fear
1474.jpg,anger
1475.jpg,anger
1476.jpg,anger
1477.jpg,happy
1478.jpg,surprise
1479.jpg,surprise
148.jpg,sad
1480.jpg,fear
1481.jpg,uncertain
1482.jpg,surprise
1483.jpg,anger
1484.jpg,sad
1485.jpg,happy
1486.jpg,sad
1487.jpg,surprise
1488.jpg,neutral
1489.jpg,anger
149.jpg,surprise
1490.jpg,neutral
1491.jpg,happy
1492.jpg,fear
1493.jpg,neutral
1494.jpg,happy
1495.jpg,anger
1496.jpg,fear
1497.jpg,sad
1498.jpg,anger
1499.jpg,happy
15.jpg,anger
150.jpg,anger
1500.jpg,happy
1501.jpg,happy
1502.jpg,neutral
1503.jpg,contempt
1504.jpg,happy
1505.jpg,anger
1506.jpg,happy
1507.jpg,neutral
1508.jpg,happy
1509.jpg,surprise
151.jpg,sad
1510.jpg,fear
1511.jpg,neutral
1512.jpg,anger
1513.jpg,uncertain
1514.jpg,anger
1515.jpg,surprise
1516.jpg,sad
1517.jpg,anger
1518.jpg,happy
1519.jpg,anger
152.jpg,fear
1520.jpg,happy
1521.jpg,uncertain
1522.jpg,anger
1523.jpg,neutral
1524.jpg,fear
1525.jpg,anger
1526.jpg,surprise
1527.jpg,sad
1528.jpg,neutral
1529.jpg,fear
153.jpg,uncertain
1530.jpg,neutral
1531.jpg,surprise
1532.jpg,neutral
1533.jpg,happy
1534.jpg,neutral
1535.jpg,neutral
1536.jpg,surprise
1537.jpg,fear
1538.jpg,sad
1539.jpg,anger
154.jpg,happy
1540.jpg,sad
1541.jpg,surprise
1542.jpg,fear
1543.jpg,happy
1544.jpg,neutral
1545.jpg,sad
1546.jpg,happy
1547.jpg,neutral
1548.jpg,contempt
1549.jpg,sad
155.jpg,fear
1550.jpg,neutral
1551.jpg,happy
1552.jpg,neutral
1553.jpg,anger
1554.jpg,surprise
1555.jpg,uncertain
1556.jpg,surprise
1557.jpg,sad
1558.jpg,happy
1559.jpg,anger
156.jpg,fear
1560.jpg,sad
1561.jpg,anger
1562.jpg,neutral
1563.jpg,sad
1564.jpg,anger
1565.jpg,happy
1566.jpg,happy
1567.jpg,sad
1568.jpg,fear
1569.jpg,happy
157.jpg,neutral
1570.jpg,sad
1571.jpg,fear
1572.jpg,uncertain
1573.jpg,anger
1574.jpg,anger
1575.jpg,sad
1576.jpg,neutral
1577.jpg,anger
1578.jpg,happy
1579.jpg,surprise
158.jpg,sad
1580.jpg,uncertain
1581.jpg,surprise
1582.jpg,surprise
1583.jpg,surprise
1584.jpg,neutral
1585.jpg,fear
1586.jpg,anger
1587.jpg,uncertain
1588.jpg,surprise
1589.jpg,anger
159.jpg,anger
1590.jpg,anger
1591.jpg,fear
1592.jpg,surprise
1593.jpg,neutral
1594.jpg,sad
1595.jpg,surprise
1596.jpg,happy
1597.jpg,happy
1598.jpg,anger
1599.jpg,surprise
16.jpg,anger
160.jpg,happy
1600.jpg,surprise
1601.jpg,happy
1602.jpg,fear
1603.jpg,uncertain
1604.jpg,fear
1605.jpg,neutral
1606.jpg,surprise
1607.jpg,sad
1608.jpg,sad
1609.jpg,happy
161.jpg,anger
1610.jpg,anger
1611.jpg,neutral
1612.jpg,uncertain
1613.jpg,happy
1614.jpg,contempt
1615.jpg,sad
1616.jpg,sad
1617.jpg,sad
1618.jpg,anger
1619.jpg,disgust
162.jpg,neutral
1620.jpg,neutral
1621.jpg,anger
1622.jpg,happy
1623.jpg,happy
1624.jpg,happy
1625.jpg,neutral
1626.jpg,neutral
1627.jpg,happy
1628.jpg,sad
1629.jpg,neutral
163.jpg,uncertain
1630.jpg,uncertain
1631.jpg,contempt
1632.jpg,neutral
1633.jpg,surprise
1634.jpg,sad
1635.jpg,neutral
1636.jpg,sad
1637.jpg,surprise
1638.jpg,anger
1639.jpg,surprise
164.jpg,anger
1640.jpg,happy
1641.jpg,uncertain
1642.jpg,anger
1643.jpg,uncertain
1644.jpg,neutral
1645.jpg,anger
1646.jpg,neutral
1647.jpg,fear
1648.jpg,surprise
1649.jpg,fear
165.jpg,sad
1650.jpg,sad
1651.jpg,neutral
1652.jpg,fear
1653.jpg,neutral
1654.jpg,anger
1655.jpg,fear
1656.jpg,uncertain
1657.jpg,uncertain
1658.jpg,happy
1659.jpg,sad
166.jpg,surprise
1660.jpg,uncertain
1661.jpg,happy
1662.jpg,fear
1663.jpg,happy
1664.jpg,anger
1665.jpg,happy
1666.jpg,happy
1667.jpg,happy
1668.jpg,sad
1669.jpg,neutral
167.jpg,fear
1670.jpg,surprise
1671.jpg,sad
1672.jpg,anger
1673.jpg,surprise
1674.jpg,surprise
1675.jpg,happy
1676.jpg,anger
1677.jpg,neutral
1678.jpg,happy
1679.jpg,neutral
168.jpg,anger
1680.jpg,sad
1681.jpg,anger
1682.jpg,happy
1683.jpg,uncertain
1684.jpg,sad
1685.jpg,sad
1686.jpg,anger
1687.jpg,happy
1688.jpg,anger
1689.jpg,surprise
169.jpg,happy
1690.jpg,happy
1691.jpg,sad
1692.jpg,happy
1693.jpg,surprise
1694.jpg,neutral
1695.jpg,fear
1696.jpg,happy
1697.jpg,sad
1698.jpg,anger
1699.jpg,surprise
17.jpg,uncertain
170.jpg,sad
1700.jpg,happy
1701.jpg,sad
1702.jpg,surprise
1703.jpg,sad
1704.jpg,neutral
1705.jpg,contempt
1706.jpg,happy
1707.jpg,sad
1708.jpg,sad
1709.jpg,sad
171.jpg,neutral
1710.jpg,sad
1711.jpg,neutral
1712.jpg,surprise
1713.jpg,anger
1714.jpg,happy
1715.jpg,anger
1716.jpg,happy
1717.jpg,surprise
1718.jpg,happy
1719.jpg,neutral
172.jpg,surprise
1720.jpg,neutral
1721.jpg,uncertain
1722.jpg,anger
1723.jpg,sad
1724.jpg,happy
1725.jpg,fear
1726.jpg,anger
1727.jpg,surprise
1728.jpg,fear
1729.jpg,happy
173.jpg,anger
1730.jpg,contempt
1731.jpg,surprise
1732.jpg,neutral
1733.jpg,happy
1734.jpg,anger
1735.jpg,anger
1736.jpg,fear
1737.jpg,sad
1738.jpg,fear
1739.jpg,fear
174.jpg,uncertain
1740.jpg,neutral
1741.jpg,uncertain
1742.jpg,neutral
1743.jpg,sad
1744.jpg,fear
1745.jpg,anger
1746.jpg,uncertain
1747.jpg,happy
1748.jpg,surprise
1749.jpg,uncertain
175.jpg,anger
1750.jpg,surprise
1751.jpg,happy
1752.jpg,sad
1753.jpg,surprise
1754.jpg,anger
1755.jpg,anger
1756.jpg,anger
1757.jpg,anger
1758.jpg,anger
1759.jpg,neutral
176.jpg,uncertain
1760.jpg,neutral
1761.jpg,sad
1762.jpg,sad
1763.jpg,happy
1764.jpg,uncertain
1765.jpg,fear
1766.jpg,anger
1767.jpg,surprise
1768.jpg,neutral
1769.jpg,happy
177.jpg,uncertain
1770.jpg,fear
1771.jpg,surprise
1772.jpg,surprise
1773.jpg,surprise
1774.jpg,uncertain
1775.jpg,happy
1776.jpg,sad
1777.jpg,anger
1778.jpg,surprise
1779.jpg,happy
178.jpg,anger
1780.jpg,uncertain
1781.jpg,neutral
1782.jpg,surprise
1783.jpg,neutral
1784.jpg,happy
1785.jpg,sad
1786.jpg,fear
1787.jpg,anger
1788.jpg,happy
1789.jpg,happy
179.jpg,surprise
1790.jpg,happy
1791.jpg,neutral
1792.jpg,neutral
1793.jpg,surprise
1794.jpg,happy
1795.jpg,neutral
1796.jpg,anger
1797.jpg,happy
1798.jpg,happy
1799.jpg,happy
18.jpg,fear
180.jpg,anger
1800.jpg,anger
1801.jpg,neutral
1802.jpg,surprise
1803.jpg,sad
1804.jpg,neutral
1805.jpg,anger
1806.jpg,uncertain
1807.jpg,happy
1808.jpg,sad
1809.jpg,anger
181.jpg,neutral
1810.jpg,surprise
1811.jpg,sad
1812.jpg,neutral
1813.jpg,surprise
1814.jpg,happy
1815.jpg,happy
1816.jpg,neutral
1817.jpg,surprise
1818.jpg,happy
1819.jpg,neutral
182.jpg,happy
1820.jpg,sad
1821.jpg,sad
1822.jpg,sad
1823.jpg,neutral
1824.jpg,uncertain
1825.jpg,fear
1826.jpg,anger
1827.jpg,sad
1828.jpg,uncertain
1829.jpg,uncertain
183.jpg,anger
1830.jpg,anger
1831.jpg,fear
1832.jpg,happy
1833.jpg,anger
1834.jpg,happy
1835.jpg,fear
1836.jpg,happy
1837.jpg,surprise
1838.jpg,anger
1839.jpg,neutral
184.jpg,neutral
1840.jpg,neutral
1841.jpg,anger
1842.jpg,surprise
1843.jpg,fear
1844.jpg,sad
1845.jpg,contempt
1846.jpg,surprise
1847.jpg,surprise
1848.jpg,sad
1849.jpg,uncertain
185.jpg,anger
1850.jpg,anger
1851.jpg,anger
1852.jpg,sad
1853.jpg,anger
1854.jpg,surprise
1855.jpg,uncertain
1856.jpg,anger
1857.jpg,sad
1858.jpg,happy
1859.jpg,neutral
186.jpg,fear
1860.jpg,surprise
1861.jpg,fear
1862.jpg,uncertain
1863.jpg,anger
1864.jpg,happy
1865.jpg,sad
1866.jpg,happy
1867.jpg,anger
1868.jpg,anger
1869.jpg,sad
187.jpg,sad
1870.jpg,surprise
1871.jpg,sad
1872.jpg,neutral
1873.jpg,sad
1874.jpg,uncertain
1875.jpg,surprise
1876.jpg,sad
1877.jpg,uncertain
1878.jpg,sad
1879.jpg,neutral
188.jpg,anger
1880.jpg,sad
1881.jpg,surprise
1882.jpg,sad
1883.jpg,fear
1884.jpg,fear
1885.jpg,surprise
1886.jpg,surprise
1887.jpg,contempt
1888.jpg,anger
1889.jpg,anger
189.jpg,neutral
1890.jpg,anger
1891.jpg,happy
1892.jpg,surprise
1893.jpg,happy
1894.jpg,anger
1895.jpg,contempt
1896.jpg,happy
1897.jpg,neutral
1898.jpg,surprise
1899.jpg,surprise
19.jpg,happy
190.jpg,anger
1900.jpg,surprise
1901.jpg,anger
1902.jpg,sad
1903.jpg,neutral
1904.jpg,fear
1905.jpg,surprise
1906.jpg,anger
1907.jpg,neutral
1908.jpg,neutral
1909.jpg,fear
191.jpg,fear
1910.jpg,anger
1911.jpg,uncertain
1912.jpg,surprise
1913.jpg,uncertain
1914.jpg,fear
1915.jpg,happy
1916.jpg,neutral
1917.jpg,sad
1918.jpg,uncertain
1919.jpg,happy
192.jpg,anger
1920.jpg,surprise
1921.jpg,anger
1922.jpg,neutral
1923.jpg,uncertain
1924.jpg,neutral
1925.jpg,happy
1926.jpg,happy
1927.jpg,anger
1928.jpg,sad
1929.jpg,anger
193.jpg,fear
1930.jpg,anger
1931.jpg,anger
1932.jpg,fear
1933.jpg,fear
1934.jpg,neutral
1935.jpg,neutral
1936.jpg,happy
1937.jpg,surprise
1938.jpg,neutral
1939.jpg,neutral
194.jpg,happy
1940.jpg,fear
1941.jpg,neutral
1942.jpg,neutral
1943.jpg,neutral
1944.jpg,neutral
1945.jpg,surprise
1946.jpg,neutral
1947.jpg,neutral
1948.jpg,surprise
1949.jpg,neutral
195.jpg,happy
1950.jpg,happy
1951.jpg,happy
1952.jpg,fear
1953.jpg,anger
1954.jpg,surprise
1955.jpg,sad
1956.jpg,sad
1957.jpg,neutral
1958.jpg,fear
1959.jpg,neutral
196.jpg,sad
1960.jpg,fear
1961.jpg,happy
1962.jpg,anger
1963.jpg,sad
1964.jpg,surprise
1965.jpg,sad
1966.jpg,neutral
1967.jpg,happy
1968.jpg,contempt
1969.jpg,neutral
197.jpg,uncertain
1970.jpg,sad
1971.jpg,neutral
1972.jpg,happy
1973.jpg,surprise
1974.jpg,happy
1975.jpg,fear
1976.jpg,anger
1977.jpg,anger
1978.jpg,happy
1979.jpg,surprise
198.jpg,surprise
1980.jpg,surprise
1981.jpg,happy
1982.jpg,happy
1983.jpg,neutral
1984.jpg,happy
1985.jpg,happy
1986.jpg,neutral
1987.jpg,anger
1988.jpg,anger
1989.jpg,sad
199.jpg,anger
1990.jpg,neutral
1991.jpg,surprise
1992.jpg,neutral
1993.jpg,fear
1994.jpg,sad
1995.jpg,anger
1996.jpg,happy
1997.jpg,sad
1998.jpg,neutral
1999.jpg,surprise
2.jpg,sad
20.jpg,neutral
200.jpg,anger
2000.jpg,uncertain
2001.jpg,uncertain
2002.jpg,surprise
2003.jpg,surprise
2004.jpg,anger
2005.jpg,uncertain
2006.jpg,anger
2007.jpg,neutral
2008.jpg,happy
2009.jpg,neutral
201.jpg,sad
2010.jpg,sad
2011.jpg,anger
2012.jpg,happy
2013.jpg,anger
2014.jpg,anger
2015.jpg,happy
2016.jpg,anger
2017.jpg,neutral
2018.jpg,neutral
2019.jpg,neutral
202.jpg,happy
2020.jpg,neutral
2021.jpg,uncertain
2022.jpg,neutral
2023.jpg,uncertain
2024.jpg,anger
2025.jpg,neutral
2026.jpg,surprise
2027.jpg,anger
2028.jpg,happy
2029.jpg,surprise
203.jpg,sad
2030.jpg,sad
2031.jpg,neutral
2032.jpg,surprise
2033.jpg,neutral
2034.jpg,surprise
2035.jpg,anger
2036.jpg,surprise
2037.jpg,surprise
2038.jpg,neutral
2039.jpg,anger
204.jpg,sad
2040.jpg,surprise
2041.jpg,anger
2042.jpg,happy
2043.jpg,neutral
2044.jpg,neutral
2045.jpg,happy
2046.jpg,neutral
2047.jpg,uncertain
2048.jpg,anger
2049.jpg,fear
205.jpg,happy
2050.jpg,anger
2051.jpg,neutral
2052.jpg,uncertain
2053.jpg,anger
2054.jpg,surprise
2055.jpg,neutral
2056.jpg,uncertain
2057.jpg,neutral
2058.jpg,sad
2059.jpg,anger
206.jpg,happy
2060.jpg,neutral
2061.jpg,neutral
2062.jpg,fear
2063.jpg,uncertain
2064.jpg,sad
2065.jpg,surprise
2066.jpg,happy
2067.jpg,happy
2068.jpg,neutral
2069.jpg,anger
207.jpg,neutral
2070.jpg,anger
2071.jpg,neutral
2072.jpg,anger
2073.jpg,happy
2074.jpg,happy
2075.jpg,anger
2076.jpg,surprise
2077.jpg,happy
2078.jpg,happy
2079.jpg,neutral
208.jpg,surprise
2080.jpg,sad
2081.jpg,neutral
2082.jpg,anger
2083.jpg,happy
2084.jpg,anger
2085.jpg,anger
2086.jpg,sad
2087.jpg,fear
2088.jpg,happy
2089.jpg,anger
209.jpg,happy
2090.jpg,neutral
2091.jpg,surprise
2092.jpg,neutral
2093.jpg,anger
2094.jpg,surprise
2095.jpg,happy
2096.jpg,happy
2097.jpg,fear
2098.jpg,anger
2099.jpg,happy
21.jpg,happy
210.jpg,anger
2100.jpg,neutral
2101.jpg,surprise
2102.jpg,neutral
2103.jpg,fear
2104.jpg,anger
2105.jpg,sad
2106.jpg,fear
2107.jpg,surprise
2108.jpg,uncertain
2109.jpg,surprise
211.jpg,happy
2110.jpg,surprise
2111.jpg,happy
2112.jpg,anger
2113.jpg,neutral
2114.jpg,happy
2115.jpg,sad
2116.jpg,neutral
2117.jpg,neutral
2118.jpg,anger
2119.jpg,neutral
212.jpg,fear
2120.jpg,uncertain
2121.jpg,surprise
2122.jpg,surprise
2123.jpg,uncertain
2124.jpg,surprise
2125.jpg,happy
2126.jpg,neutral
2127.jpg,anger
2128.jpg,anger
2129.jpg,disgust
213.jpg,uncertain
2130.jpg,sad
2131.jpg,anger
2132.jpg,uncertain
2133.jpg,anger
2134.jpg,uncertain
2135.jpg,neutral
2136.jpg,surprise
2137.jpg,uncertain
2138.jpg,happy
2139.jpg,neutral
214.jpg,surprise
2140.jpg,happy
2141.jpg,neutral
2142.jpg,anger
2143.jpg,neutral
2144.jpg,neutral
2145.jpg,fear
2146.jpg,surprise
2147.jpg,happy
2148.jpg,happy
2149.jpg,anger
215.jpg,neutral
2150.jpg,surprise
2151.jpg,neutral
2152.jpg,anger
2153.jpg,anger
2154.jpg,surprise
2155.jpg,surprise
2156.jpg,anger
2157.jpg,sad
2158.jpg,surprise
2159.jpg,neutral
216.jpg,fear
2160.jpg,anger
2161.jpg,surprise
2162.jpg,happy
2163.jpg,sad
2164.jpg,sad
2165.jpg,happy
2166.jpg,sad
2167.jpg,neutral
2168.jpg,fear
2169.jpg,neutral
217.jpg,uncertain
2170.jpg,sad
2171.jpg,happy
2172.jpg,fear
2173.jpg,neutral
2174.jpg,fear
2175.jpg,happy
2176.jpg,sad
2177.jpg,happy
2178.jpg,anger
2179.jpg,disgust
218.jpg,neutral
2180.jpg,surprise
2181.jpg,anger
2182.jpg,anger
2183.jpg,happy
2184.jpg,sad
2185.jpg,surprise
2186.jpg,anger
2187.jpg,neutral
2188.jpg,sad
2189.jpg,sad
219.jpg,anger
2190.jpg,happy
2191.jpg,happy
2192.jpg,surprise
2193.jpg,happy
2194.jpg,sad
2195.jpg,neutral
2196.jpg,anger
2197.jpg,neutral
2198.jpg,happy
2199.jpg,happy
22.jpg,uncertain
220.jpg,surprise
2200.jpg,sad
2201.jpg,fear
2202.jpg,uncertain
2203.jpg,fear
2204.jpg,contempt
2205.jpg,anger
2206.jpg,happy
2207.jpg,anger
2208.jpg,sad
2209.jpg,surprise
221.jpg,happy
